,distance_to_goal,shot_angle_deg,minute,n_defenders_in_cone,n_teammates_in_cone,n_opponents_close,goalkeeper_distance,open_goal_angle_ratio,nearest_defender_to_shot_line,pressure_score
distance_to_goal,1.0,-0.7457746548383182,-0.017806673987982382,0.28527763867888173,0.1592725091498627,-0.44446521401038497,0.9676765593138151,-0.1435886569865697,-0.11395551651919776,-0.5252434121387614
shot_angle_deg,-0.7457746548383182,1.0,0.018622678161527375,-0.2326689602755231,-0.07468032669464637,0.42224018920337353,-0.6757710184340929,0.15007357793948115,0.11971851617438008,0.5071559262206221
minute,-0.017806673987982382,0.018622678161527375,1.0,-0.00453236429480394,0.0008659481204814065,-0.009845363907229754,-0.02330424570729111,-0.0032204914096504904,-0.012680320354942501,-0.013631529020960634
n_defenders_in_cone,0.28527763867888173,-0.2326689602755231,-0.00453236429480394,1.0,0.5492496357642819,0.04968280037196917,0.36147755598858494,-0.4835859894033351,-0.3583674372783486,0.05442320991207205
n_teammates_in_cone,0.1592725091498627,-0.07468032669464637,0.0008659481204814065,0.5492496357642819,1.0,-0.027522864796543103,0.21662592253660173,-0.26647732103508764,-0.16806214006084222,0.003152442688473504
n_opponents_close,-0.44446521401038497,0.42224018920337353,-0.009845363907229754,0.04968280037196917,-0.027522864796543103,1.0,-0.41049085581936035,-0.06940158121957735,-0.07922756350484442,0.8463446785696296
goalkeeper_distance,0.9676765593138151,-0.6757710184340929,-0.02330424570729111,0.36147755598858494,0.21662592253660173,-0.41049085581936035,1.0,-0.1961261432623044,-0.1561691543710111,-0.4748091975038193
open_goal_angle_ratio,-0.1435886569865697,0.15007357793948115,-0.0032204914096504904,-0.4835859894033351,-0.26647732103508764,-0.06940158121957735,-0.1961261432623044,1.0,0.5425608226195436,-0.11673441228153536
nearest_defender_to_shot_line,-0.11395551651919776,0.11971851617438008,-0.012680320354942501,-0.3583674372783486,-0.16806214006084222,-0.07922756350484442,-0.1561691543710111,0.5425608226195436,1.0,-0.09626203203243137
pressure_score,-0.5252434121387614,0.5071559262206221,-0.013631529020960634,0.05442320991207205,0.003152442688473504,0.8463446785696296,-0.4748091975038193,-0.11673441228153536,-0.09626203203243137,1.0
