,count,mean,std,min,25%,50%,75%,max
distance_to_goal,3968.0,18.602738407275996,8.373583955126179,0.7615773105863923,11.875706862002588,18.034964597735105,24.61483276560732,72.33270353028429
shot_angle_deg,3968.0,25.887119460633638,16.048043845509692,0.0,15.5408320860721,20.084045268816972,31.749624586788467,160.04076423164562
minute,3968.0,52.17439516129032,28.769440303452754,0.0,29.0,52.0,75.0,123.0
n_defenders_in_cone,3968.0,1.9926915322580645,1.3183458609308092,0.0,1.0,2.0,3.0,9.0
n_teammates_in_cone,3968.0,0.4501008064516129,0.7237760475430787,0.0,0.0,0.0,1.0,6.0
n_opponents_close,3968.0,1.791078629032258,1.2890538152890683,0.0,1.0,2.0,2.0,7.0
goalkeeper_distance,3968.0,15.617032397970526,8.388506919403012,0.8062257748298524,8.704021831261732,14.581837917787379,21.88281288847257,63.6305744119916
open_goal_angle_ratio,3966.0,0.5861344881102651,0.36889653875177797,0.0,0.26476400880486795,0.6142753828212906,1.0,1.0
nearest_defender_to_shot_line,3615.0,0.9086565797553247,1.3994709265777088,0.0,0.20886585821943335,0.5094958871092438,1.0750797578404898,22.178233805358182
pressure_score,3968.0,0.9251384363355798,0.5725710073082279,0.0,0.5267894951515378,0.8360114295101733,1.1844604701355352,4.352788819996212
