,coef,std_err,p_value,odds_ratio,ci_lower,ci_upper
technique_Lob,2.3659,1.2889,0.0664,10.6536,0.8519,133.2318
technique_Diving Header,2.2252,1.328,0.0938,9.2558,0.6855,124.9736
shot_angle_deg_log,2.205,0.3554,0.0,9.07,4.5192,18.2034
technique_Normal,2.011,1.1777,0.0877,7.4709,0.7428,75.1413
technique_Half Volley,1.2663,1.1813,0.2837,3.5477,0.3503,35.9311
technique_Volley,1.1665,1.1917,0.3277,3.2107,0.3106,33.191
open_goal_angle_ratio,1.0643,0.2378,0.0,2.8989,1.819,4.6198
technique_Overhead Kick,1.0192,1.5685,0.5158,2.7708,0.1281,59.9444
play_pattern_From Keeper,0.5002,0.4032,0.2148,1.649,0.7482,3.6346
play_pattern_From Goal Kick,0.3527,0.3347,0.2919,1.4229,0.7384,2.742
play_pattern_Other,0.3471,0.7987,0.6639,1.4149,0.2957,6.7704
play_pattern_From Throw In,0.2978,0.243,0.2204,1.3468,0.8366,2.1683
play_pattern_From Free Kick,0.2975,0.2389,0.213,1.3464,0.843,2.1504
play_pattern_Regular Play,0.2275,0.2279,0.3181,1.2555,0.8032,1.9623
play_pattern_From Kick Off,0.2273,0.5896,0.6998,1.2552,0.3953,3.9862
play_pattern_From Counter,0.2075,0.3325,0.5327,1.2305,0.6413,2.3613
n_teammates_in_cone,0.1009,0.1241,0.4162,1.1062,0.8673,1.4107
n_opponents_close,0.0374,0.0916,0.6832,1.0381,0.8674,1.2424
nearest_defender_to_shot_line,0.0028,0.0062,0.6448,1.0028,0.9908,1.015
minute,0.0007,0.0022,0.7443,1.0007,0.9964,1.0051
goalkeeper_anomaly,-0.0545,0.0298,0.0679,0.947,0.8932,1.004
n_defenders_in_cone,-0.0855,0.0819,0.2965,0.9181,0.782,1.0779
shot_type_clean_Set Piece,-0.1299,0.6672,0.8457,0.8782,0.2375,3.2476
first_time,-0.2047,0.1623,0.2072,0.8149,0.5929,1.1201
game_state_level,-0.2238,0.1497,0.1348,0.7995,0.5962,1.072
under_pressure,-0.2923,0.1686,0.0829,0.7465,0.5364,1.0389
game_state_trailing,-0.3287,0.171,0.0547,0.7199,0.5148,1.0066
distance_to_goal_log,-0.4744,0.3817,0.214,0.6222,0.2945,1.3149
pressure_score,-0.5517,0.2515,0.0283,0.576,0.3518,0.943
body_part_clean_Head,-1.319,0.2348,0.0,0.2674,0.1688,0.4237
body_part_clean_Other,-2.2951,0.6457,0.0004,0.1008,0.0284,0.3572
